gender,number_of_followers,number_of_posts,average_likes,likes_to_followers
,37003,2446,326.83,0.88
,106524,904,906.9,0.85
Male,18571,118,325.03,1.75
,23195,1119,87.97,0.38
male,11495,716,3832.37,33.34
Male,262541,1165,7954.53,3.03
,17374,1065,312.57,1.8
Male,15569,4283,36.23,0.23
Male,34707,2227,715.4,2.06
,18096,4792,47.93,0.26
,8533,2445,66.3,0.78
female,16814,232,124.73,0.74
,61200,314,3023.73,4.94
Female,29616,3129,143.57,0.48
,10095,77,538.2,5.33
,40438,1631,1045.43,2.59
,10619,81,357.9,3.37
,20888,535,660.5,3.16
Male,55578,297,1110.2,2
Male,76904,142,1574.73,2.05
,12193,1874,608.43,4.99
,93766,9883,1283.67,1.37
,807339,1039,59517.33,7.37
,17218,162,248.87,1.45
Male,108828,933,4101.7,3.77
,32136,997,792.6,2.47
,21565,156,258.53,1.2
,6095,146,143.23,2.35
,20628,348,262.5,1.27
male,17434,30,102.9,0.59
Male,273446,666,5936,2.17
Male,18708,15,93.07,0.5
Female,24276,675,364.8,1.5
,21116,1054,996.63,4.72
Male,11353,610,406.33,3.58
,9289,109,506.8,5.46
,45248,149,1431.2,3.16
male,19167,774,878.8,4.58
,20417,236,662.57,3.25
,22776,162,847.03,3.72
,9535,1054,56.9,0.6
Male,13489,222,483.83,3.59
,12011,71,739.37,6.16
Male,34430,580,914.9,2.66
Male,18731,595,238.67,1.27
,24064,858,575.3,2.39
Male,65003,8423,914.4,1.41
Male,22363,583,318.07,1.42
Male,40175,1165,2743.67,6.83
Male,50154,1009,1200.47,2.39
Male,20475,393,564.1,2.76
Male,27854,489,488.93,1.76
,20927,536,1141.37,5.45
Male,19743,213,98.97,0.5
Male,255273,1386,4385.6,1.72
,26855,2326,62.77,0.23
Male,100878,428,3686.73,3.65
Female,13586,977,204.73,1.51
Female,23190,428,92.43,0.4
Male,45440,1124,2480.13,5.46
Male,13386,752,125.67,0.94
,15430,2292,1276.77,8.27
,14484,388,140.17,0.97
Male,28579,303,491.5,1.72
Male,14232,1574,126.17,0.89
Male,64290,557,2755.7,4.29
,9073,962,49.27,0.54
,16848,258,135.2,0.8
Male,16793,412,406.23,2.42
Male,77333,600,2082.37,2.69
female,6136,205,198.07,3.23
Female,108286,862,7650.97,7.07
Male,15959,1829,1116.37,7
male,12539,2677,425.8,3.4
,12116,6,14.83,0.12
,12410,361,139.33,1.12
Female,25381,303,392.77,1.55
Female,30744,372,1074.63,3.5
,10692,1995,65.4,0.61
Female,200172,1364,3420.4,1.71
Male,765152,268,41112.9,5.37
,62481,635,248.43,0.4
Male,65208,84,95.97,0.15
Male,25179,2006,742.17,2.95
,5214,134,908.8,17.43
Male,22424,1109,820.7,3.66
,72331,731,2751.4,3.8
Male,12348,92,494.33,4
,20864,802,965.23,4.63
male,11206,1340,251.67,2.25
Male,12564,781,102.87,0.82
Male,15749,355,210.7,1.34
,33303,573,835.27,2.51
Female,9836,318,63.6,0.65
,12027,1141,360.27,3
Male,20261,332,1334.8,6.59
,277632,491,14055.65,5.06
Male,135166,1379,1413.6,1.05
male,14078,127,1776.17,12.62
Male,13350,381,525.73,3.94
male,12417,326,2598.43,20.93
Male,29267,2515,84.03,0.29
Male,17314,40,122.97,0.71
Male,68811,3026,779.03,1.13
male,58126,202,5201.7,8.95
Male,62305,676,5609.83,9
,7756,108,588.33,7.59
Male,122975,165,8596.17,6.99
Male,100607,167,1406.43,1.4
Male,336793,817,21088.23,6.26
Male,11198,85,54.4,0.49
Male,93627,437,5208.2,5.56
male,20964,400,866.93,4.14
,15932,482,515.93,3.24
Male,11886,1904,697.47,5.87
male,8343,956,305.03,3.66
Male,12106,1560,517.83,4.28
,50233,139,1329.67,2.65
Male,23187,1795,611.53,2.64
Male,22320,692,951.9,4.26
Female,38287,3462,1135.33,2.97
Male,15296,96,627.53,4.1
Male,98460,523,3504.3,3.56
Female,34692,615,3071.1,8.85
Male,117236,2221,536.17,0.46
Male,23493,474,300.07,1.28
Male,24530,1168,725.57,2.96
Male,22696,1848,292.4,1.29
,7709,252,613.37,7.96
Female,199184,41,3468.5,1.74
,44383,580,1536.13,3.46
,19030,625,1366.03,7.18
male,9398,344,1093.1,11.63
,39674,1764,1743.63,4.39
Male,22919,604,857.63,3.74
Male,203278,246,15515.3,7.63
Male,63332,91,586.77,0.93
,61013,1011,2458.93,4.03
Male,11031,316,229.93,2.08
,76462,169,5523.03,7.22
Female,114240,798,13902.8,12.17
Male,34563,351,1880.27,5.44
,91886,610,7583.43,8.25
Male,8921,672,331.43,3.72
Female,33903,203,1118.23,3.3
Male,16746,1392,645.6,3.86
Male,56242,577,2102.8,3.74
Male,41920,54,2191.17,5.23
,5323,12,77.67,1.46
Male,14794,179,994,6.72
Male,26649,551,437.77,1.64
Female,45168,871,1268.93,2.81
Male,37382,632,217.5,0.58
male,5098,817,23.6,0.46
,31553,42,79.8,0.25
Female,14358,813,309.83,2.16
Male,11918,231,240.47,2.02
,12930,4,35.75,0.28
Male,108075,154,4917.5,4.55
Male,15391,173,570.67,3.71
,9316,72,302.9,3.25
Male,66977,1110,1414.37,2.11
Male,31341,288,1732.43,5.53
,54153,238,1851.17,3.42
,36180,157,1277.1,3.53
male,14302,165,963.3,6.74
Male,64388,1163,2398.1,3.72
Male,326701,1333,27710.7,8.48
,26818,920,2351.9,8.77
Male,51376,506,758.2,1.48
,11770,277,303.47,2.58
Male,9496,224,181.9,1.92
,21315,1260,1467.27,6.88
Female,34784,40,1158.77,3.33
Male,26196,750,312.77,1.19
Male,15986,228,1090.1,6.82
Male,18722,718,639.4,3.42
Male,184508,234,8865.47,4.8
Male,12734,2048,210.53,1.65
male,14346,298,1286.47,8.97
Male,92416,1272,7290.93,7.89
Male,75094,876,10086.53,13.43
Male,13581,630,11.57,0.09
,26844,248,329.2,1.23
Female,27820,1212,428.03,1.54
Female,77507,4006,497.27,0.64
Male,128173,465,5134.83,4.01
Male,194327,1403,5752.6,2.96
Male,104241,1328,876.37,0.84
Male,52242,470,537.6,1.03
Female,72700,706,1604.37,2.21
Male,24580,1030,1476.57,6.01
Male,31909,2143,472.7,1.48
Male,100107,879,1695.03,1.69
male,18993,822,806.57,4.25
Male,13595,1311,289.97,2.13
Male,51594,326,3802.3,7.37
,415076,929,14484.03,3.49
Male,118537,257,1497.27,1.26
Female,30870,2195,301.4,0.98
,36287,3266,1543.07,4.25
,1357759,3522,10270.4,0.76
,42546,1192,752.63,1.77
Male,16913,204,986.57,5.83
Male,11907,134,2520.9,21.17
male,9379,1162,78.23,0.83
Male,73118,1081,4394.87,6.01
male,17762,359,537.73,3.03
male,6308,219,199.3,3.16
Male,11831,2389,219.3,1.85
Male,12319,22,282.77,2.3
Female,584088,4222,3115.7,0.53
Male,17675,235,489.57,2.77
Male,18507,618,746.53,4.03
Male,75739,842,4311.07,5.69
Male,22179,1792,560.83,2.53
Male,14321,135,659.6,4.61
Male,117012,857,5230.33,4.47
male,20416,1495,288.93,1.42
Male,45660,1086,846,1.85
,419364,255,14135.6,3.37
male,16419,97,3677.2,22.4
,21561,293,1822.13,8.45
male,12845,404,479.77,3.74
,707865,1026,47064.3,6.65
Male,23537,1203,485.13,2.06
,20289,4943,322.6,1.59
Male,92582,34,30.53,0.03
Male,32893,1537,485.1,1.47
Male,90146,349,6405.27,7.11
,11720,1972,164.13,1.4
,19597,102,1294.37,6.6
Male,143097,909,2427.7,1.7
Male,16503,230,261.6,1.59
Male,19923,2147,455.2,2.28
Male,19578,0,0,0
Male,35886,360,3358.97,9.36
,16146,154,191.13,1.18
male,6774,314,659.03,9.73
male,8311,379,202.03,2.43
female,9942,227,802.27,8.07
,100485,2129,1185.9,1.18
Female,28622,968,883.47,3.09
Female,12517,403,51.5,0.41
,14725,1236,719.3,4.88
Male,10791,568,166.33,1.54
,10228,1000,62.67,0.61
,28181,1136,723.23,2.57
Female,127955,2126,3843.77,3
Female,246960,585,10181.8,4.12
Female,134723,456,10256.4,7.61
,16147,1481,435.77,2.7
,20038,2499,118.73,0.59
Female,73186,1820,1296.93,1.77
,46044,16,1499.88,3.26
Male,243416,1500,1057.93,0.43
Male,30737,30,1758.93,5.72
Male,13892,645,109.37,0.79
male,10985,463,479.23,4.36
Female,245218,2867,1044.67,0.43
,8809,163,107.33,1.22
Male,124458,619,9619.73,7.73
,13291,1526,505.23,3.8
Male,1377299,697,51639.77,3.75
Female,78618,1218,1924.63,2.45
Female,13556,217,519.63,3.83
Male,13244,2677,329.23,2.49
Male,23272,2469,158.37,0.68
male,41231,166,2545,6.17
Male,11204,415,65.53,0.58
Female,161211,5601,3513.07,2.18
Male,18808,123,394.2,2.1
,20005,158,351.8,1.76
,10024,34,258.43,2.58
female,6537,311,282.87,4.33
,11129,259,1264.97,11.37
Male,119916,221,8042.77,6.71
Male,50622,1128,670.97,1.33
Male,59226,1848,1866.1,3.15
,85789,1167,668.5,0.78
Male,10092,83,360.73,3.57
,20725,1478,241.67,1.17
,12748,265,107.53,0.84
Male,11611,1841,59.77,0.51
,17974,1090,461.3,2.57
male,5810,298,112.83,1.94
Male,29136,560,239.07,0.82
,14118,5,224.8,1.59
Male,91462,8958,591.5,0.65
,10044,774,199.73,1.99
Male,65893,147,1024.6,1.55
Male,11158,1360,9.17,0.08
Male,16421,825,577.77,3.52
Female,57543,458,1636.13,2.84
female,10079,269,1157.53,11.48
Female,25600,208,171.27,0.67
Female,16556,928,728.73,4.4
Male,28944,104,1708.27,5.9
,10056,660,761.83,7.58
Female,181811,157,4192.53,2.31
male,41211,307,4213.63,10.22
Female,16061,1336,310.8,1.94
female,25868,886,694.63,2.69
Female,47664,3157,896.03,1.88
,61751,42,617.77,1
Female,13217,569,239.5,1.81
Female,15148,1269,909.97,6.01
,16148,283,230.3,1.43
Female,81880,3418,2534.9,3.1
Female,11093,124,342.07,3.08
,26456,2999,702.97,2.66
,5929,133,437.13,7.37
Female,17808,478,670.03,3.76
,5277,621,95.17,1.8
Male,12062,417,150.27,1.25
,11483,1247,224.6,1.96
,6289,4395,80.47,1.28
,21611,653,184.97,0.86
,9210,0,0,0
,31019,1411,586.77,1.89
,17382,0,0,0
Male,55501,1076,1381.47,2.49
Female,78869,3065,720.3,0.91
,60213,1571,6375.47,10.59
,20492,560,128.93,0.63
,24306,693,258.6,1.06
,37782,176,107.3,0.28
,44161,3237,55.13,0.12
,15169,2618,53.4,0.35
,162833,2659,640.27,0.39
Male,46073,450,4887.67,10.61
Female,16465,1157,342.07,2.08
Male,35749,528,1464.67,4.1
,27101,766,292.43,1.08
Male,264920,3367,4490.73,1.7
,14457,2,70,0.48
Male,34095,1145,1951.6,5.72
,103321,59,2705.83,2.62
Male,14168,439,275.03,1.94
Male,13594,1057,107.63,0.79
Male,15851,3535,128.53,0.81
Male,155324,311,4624.5,2.98
Female,86912,3860,2675.2,3.08
Female,22606,188,1186.77,5.25
Male,21381,134,369.63,1.73
male,9184,365,1634.1,17.79
Female,13293,225,213.43,1.61
male,5541,737,120.9,2.18
,17947,16,633.94,3.53
,31452,235,317.5,1.01
Male,18671,482,303.47,1.63
Male,341730,44,43827.43,12.83
Male,315059,587,13746.5,4.36
Male,14065,377,443.33,3.15
,37900,1238,438.83,1.16
Male,17600,37,2115.77,12.02
Male,59737,3620,208.27,0.35
,53895,561,544.5,1.01
Male,40698,691,889.97,2.19
Male,18308,479,525.6,2.87
,7258,94,133.07,1.83
Male,159689,446,2723.73,1.71
Male,25506,287,1430.4,5.61
Male,38075,1313,496.63,1.3
,16485,156,623.4,3.78
,7756,102,508.23,6.55
Male,27501,1064,1011.6,3.68
Male,69434,480,1939.3,2.79
Male,13368,236,173.93,1.3
,12929,516,310.37,2.4
Male,102974,224,3691.37,3.58
,88086,2122,2836.97,3.22
,14280,29,44.93,0.31
,11690,153,665.3,5.69
Female,42355,845,1639.73,3.87
Male,18243,382,49.1,0.27
Male,66576,5676,79.05,0.12
,7853,322,582.47,7.42
Male,23067,127,1705.3,7.39
Male,9892,1768,222.23,2.25
Male,35723,15935,90.8,0.25
,16216,55,665,4.1
Female,75204,3841,848.67,1.13
Female,19036,337,596.93,3.14
,12521,1289,252.17,2.01
male,29525,152,1123.2,3.8
Male,124266,2290,961.73,0.77
,8087,228,330.8,4.09
,13233,1814,94.13,0.71
Male,675897,258,140033.07,20.72
,307231,362,10554.83,3.44
Male,170306,305,5356.97,3.15
Male,249414,159,10318,4.14
Male,555378,5454,1660.83,0.3
,369983,641,7333.1,1.98
,26289,208,850.2,3.23
,487390,596,31619.9,6.49
Male,29093,1092,286.73,0.99
,20519,1308,260.47,1.27
Male,682258,974,12197.57,1.79
,45100,56,4165.7,9.24
,28524,1166,439.7,1.54
Male,16921,561,415.53,2.46
,20257,156,1372.07,6.77
Female,44669,1256,1507.57,3.37
Female,37646,2756,571.73,1.52
male,7853,57,216.33,2.75
Female,18653,2270,292.83,1.57
,37587,446,2165.73,5.76
,111714,2032,754.87,0.68
Female,110415,1070,495.43,0.45
,10587,14,839.29,7.93
Female,11173,681,69.3,0.62
Female,15405,1176,104,0.68
Female,210198,4348,1596.07,0.76
,10663,35,242.2,2.27
Female,766673,1862,4436,0.58
Female,14100,592,126.47,0.9
,86284,2216,222.73,0.26
Female,22479,876,1806.57,8.04
,37196,2053,28.03,0.08
female,62071,547,178.5,0.29
male,13247,531,354.4,2.68
,13350,1032,80.13,0.6
,153730,1180,7601.33,4.94
,206866,709,29535.3,14.28
Female,16278,2831,217.23,1.33
Female,184509,1887,20388.17,11.05
,7179,843,192.4,2.68
Male,18942,1759,79.77,0.42
Female,17057,566,623.27,3.65
,21533,39,195.03,0.91
,19621,589,368.5,1.88
,46280,3939,250.13,0.54
Female,13914,1809,413,2.97
,15092,315,351.2,2.33
Male,16422,215,338.43,2.06
,124193,1139,758.63,0.61
Male,26415,699,644.73,2.44
,5407,720,445.1,8.23
male,54993,384,1201.53,2.18
Female,9545,126,214.37,2.25
Female,41365,3051,1037.97,2.51
Male,12536,402,716.53,5.72
Female,23661,5545,22.77,0.1
,1180214,495,228982.27,19.4
,14063,762,307.63,2.19
Female,19918,650,309.57,1.55
Female,126406,796,8385.63,6.63
,114129,277,1373.9,1.2
male,6057,218,484.73,8
Male,16697,686,93.8,0.56
,10658,227,269.07,2.52
male,13111,549,684.77,5.22
Male,132327,528,5530.2,4.18
,43038,623,491.7,1.14
Male,26921,959,58.53,0.22
Female,12521,1873,150.5,1.2
Female,32904,229,154.53,0.47
female,7217,424,457.73,6.34
,8154,296,369,4.53
male,6069,2850,167.2,2.75
,18441,50,7.93,0.04
,152200,933,1549.8,1.02
Male,20417,374,77.9,0.38
Male,99853,841,1159.77,1.16
Female,19164,811,386.7,2.02
female,15063,31,456.03,3.03
Female,139215,37,1233.7,0.89
,43290,550,1705.47,3.94
Female,13976,488,122.67,0.88
Male,161574,763,1235.57,0.76
,5254,228,246.53,4.69
female,24591,7621,184.3,0.75
Male,46165,3471,651.77,1.41
Female,14002,97,73.7,0.53
,17434,1825,481.7,2.76
male,5928,199,265.13,4.47
Male,21407,368,1345.6,6.29
Male,13044,1011,122.77,0.94
,5422,58,379.3,7
Male,9903,109,99.8,1.01
Female,17194,1157,49.6,0.29
Male,56634,61,2090.43,3.69
Female,74394,772,881.27,1.18
Female,24256,471,279.47,1.15
,98224,115,96.47,0.1
,13835,2984,50.87,0.37
Female,41113,256,1359.07,3.31
,13675,817,76.85,0.56
Female,37206,1013,1167.9,3.14
Male,18329,50,199.3,1.09
,18439,254,126.37,0.69
Female,34273,686,461.83,1.35
Male,15462,6220,162.3,1.05
Male,15354,1101,85.7,0.56
Female,18963,309,440.57,2.32
Female,63122,429,2848,4.51
Female,11908,0,0,0
Female,14397,2526,61.07,0.42
Female,38928,649,448.63,1.15
Female,81018,1761,2510.57,3.1
Female,32785,191,1259.5,3.84
Female,24053,763,406.5,1.69
Female,65164,1350,3833.17,5.88
,34053,554,2353,6.91
Female,14169,205,367.17,2.59
Female,24459,181,1083.9,4.43
Male,62616,797,450,0.79
Female,45938,2173,1435.97,3.13
Male,284588,2399,3566.9,1.25
Female,62235,2648,153.83,0.25
Female,22098,1203,81.93,0.37
Female,58196,15654,67.63,0.12
,6445,975,158.7,2.46
female,16960,181,1010.33,5.96
,27531,1629,555.67,2.02
female,7077,149,470.97,6.65
Female,198647,454,28800.5,14.5
Female,21513,552,702.1,3.26
,16499,1000,108.37,0.66
,18777,498,261.97,1.4
Female,24417,1294,196.77,0.81
Female,69447,1830,1861.33,2.68
,31734,605,57.63,0.18
Female,20275,1999,132.67,0.65
,20082,581,50.4,0.25
Female,74707,267,324.27,0.43
Female,15736,97,49.8,0.32
Female,19200,6,1112.67,5.8
Female,258786,861,4074.73,1.57
Female,21932,81,234,1.07
female,34927,491,3284.87,9.4
male,7184,1409,413.37,5.75
Female,36523,2262,140.13,0.38
Female,14193,1276,123.1,0.87
Female,20745,2356,162.17,0.78
female,9889,333,201.97,2.04
Female,516096,3385,3970.67,0.77
,66018,689,4020.53,6.09
,26857,1029,1998.17,7.44
Female,51924,2586,582.7,1.12
Female,56685,2326,406.67,0.72
Female,19780,1071,203.3,1.03
Female,46972,263,2161.83,4.6
Female,136408,1102,6706.07,4.92
Female,18436,885,1104.23,5.99
,526776,6697,1261.2,0.24
Female,22402,388,876.47,3.91
,61140,523,1642.6,2.69
,205704,671,2550.47,1.24
female,9397,975,34.37,0.37
,5767,107,178.97,3.1
Female,79824,55,748.53,0.94
,728131,31,2406.9,0.33
Female,17425,2,204,1.17
Female,27437,269,1422.1,5.18
female,42086,2636,517.73,1.23
,15746,144,797.97,5.07
,5677,142,288.83,5.09
female,8662,798,103.17,1.19
Female,34936,749,504.2,1.44
,10788,510,559.27,5.18
Female,18712,1581,109.77,0.59
Female,15648,9144,26.2,0.17
Female,12106,703,450.23,3.72
Male,152899,3160,666.87,0.44
Female,15882,976,97.17,0.61
,61807,781,1043.53,1.69
Female,20058,236,337.1,1.68
Female,37642,802,746,1.98
,53638,5947,56.23,0.1
Female,11505,506,260.2,2.26
Male,99610,2129,524.6,0.53
Female,21523,423,446.67,2.08
Female,86189,4374,271.3,0.31
,12884,4288,226.07,1.75
,22815,948,637.33,2.79
,12114,1870,146.5,1.21
Female,36410,513,473.23,1.3
Female,10790,878,52.17,0.48
Female,62483,215,822.5,1.32
female,12701,93,2594.1,20.42
female,16811,907,267.5,1.59
Female,43162,1106,1981.53,4.59
Female,44017,446,2098.9,4.77
Female,13861,102,75.13,0.54
Female,16350,138,373.77,2.29
Female,53850,288,2041.33,3.79
Female,12728,188,431,3.39
Female,125385,1173,2602.37,2.08
Female,29744,111,746.8,2.51
Female,21556,0,0,0
Female,113405,5824,1761.37,1.55
Male,43726,152,3027.63,6.92
,40841,2315,237.8,0.58
Male,26976,480,569.03,2.11
Female,59805,704,3070.47,5.13
Female,156504,5776,10753.87,6.87
Male,15434,780,500.93,3.25
Female,34146,787,785.47,2.3
Female,114505,2567,856.17,0.75
,97106,301,2482.33,2.56
Male,52237,597,370.97,0.71
,84070,764,321.87,0.38
Male,57577,303,904.47,1.57
,70675,23,551.3,0.78
Female,69619,275,4685.4,6.73
,5939,2062,182.8,3.08
,103860,207,1115.23,1.07
female,50883,551,12.1,0.02
Female,74084,192,9530.93,12.87
Male,10261,178,377.6,3.68
Female,29647,0,0,0
Female,91510,5497,153.3,0.17
,48067,486,2794.53,5.81
Female,26787,256,27.43,0.1
Female,3843800,463,78284.3,2.04
,5427,108,615.1,11.33
,10914,3049,29.73,0.27
,36451,1067,727.43,2
Female,8616,855,108.67,1.26
Male,121698,121,12101.2,9.94
Female,13757,1161,184.83,1.34
,8156,62,402.4,4.93
,21988,266,170.77,0.78
Male,27902,416,545.57,1.96
,104651,1864,99.4,0.09
Female,41173,633,1503.33,3.65
Female,583039,353,67460.97,11.57
,76205,92,465.63,0.61
Female,74750,4070,432.97,0.58
,12848,208,297.5,2.32
Female,29608,454,3066.8,10.36
Female,62812,60,2380.53,3.79
,19515,66,419.3,2.15
Female,17080,937,163.6,0.96
,8358,666,261.8,3.13
Female,44078,496,42.53,0.1
Female,17610,528,200,1.14
Female,11204,217,676.37,6.04
female,8007,140,788.27,9.84
,21069,97,221.27,1.05
Female,25372,2790,281.07,1.11
Female,281411,537,1385.97,0.49
Female,53032,189,2860.1,5.39
,6680,429,67,1
Female,11794,1350,14.77,0.13
,253850,457,6540.13,2.58
Female,26797,92,1850.97,6.91
Male,23317,2581,217.1,0.93
,72379,7,196.71,0.27
Female,39519,690,309.47,0.78
Female,70662,317,270.6,0.38
,9742,672,429.33,4.41
Male,89258,1584,461.27,0.52
,19333,2062,148.4,0.77
,91048,5395,95.07,0.1
Female,18312,71,692.27,3.78
Female,13109,28,355.07,2.71
Female,25131,166,1112,4.42
,786192,31632,579.17,0.07
Female,37496,647,3268.7,8.72
Female,206959,3526,830.53,0.4
Female,11663,46,60.3,0.52
female,10836,316,685.07,6.32
,6592,388,1000.8,15.18
female,8100,296,165.4,2.04
,15708,795,410.4,2.61
Female,93151,1074,2290.17,2.46
Female,10561,263,62.63,0.59
Female,23235,1244,1055.5,4.54
,168328,0,0,0
Female,16702,102,394.53,2.36
Female,13611,1330,247.27,1.82
Female,18878,4577,348.43,1.85
male,7891,223,727.33,9.22
Female,83502,626,3828.77,4.59
Male,69550,91,1667.07,2.4
Female,120488,1447,1870.47,1.55
Female,47895,460,365.53,0.76
,35355,556,85,0.24
Female,77942,2379,2686.4,3.45
Female,20005,367,153.77,0.77
Male,140042,118,3321.23,2.37
Female,20631,1712,200.43,0.97
,11463,7,393.71,3.43
male,10185,1350,159.7,1.57
,117119,533,1612.57,1.38
Female,271810,1768,1328.67,0.49
Male,18908,3574,315.37,1.67
Female,22876,1753,398.5,1.74
Female,10925,581,531.93,4.87
,168799,888,3397.33,2.01
Female,19031,1570,115.3,0.61
,25666,240,219.87,0.86
Male,47613,342,747.4,1.57
Female,140954,3920,1912.5,1.36
,14179,383,202.03,1.42
Male,40686,107,374.33,0.92
Female,26835,222,132.43,0.49
Male,55426,50,434.03,0.78
,15327,140,110.87,0.72
Female,19796,48,1455,7.35
,18273,54,434.1,2.38
male,9123,91,367.17,4.02
Female,21210,2535,315.57,1.49
Female,10413,8435,159.9,1.54
female,5641,211,197.6,3.5
Female,208748,6011,3688.87,1.77
male,12536,411,921.07,7.35
,29702,524,239.37,0.81
,11247,554,173.33,1.54
,1825712,1541,47583.33,2.61
,16961,502,59.03,0.35
,15662,207,22.03,0.14
,25177,269,65.63,0.26
,775577,1555,7024.8,0.91
,62765,1,50,0.08
Female,18755,185,168.53,0.9
,16456,405,113.67,0.69
,9447,645,1103.4,11.68
Female,97039,533,1516,1.56
Female,19969,1239,557.9,2.79
,20713,372,432.6,2.09
Female,11611,289,235.63,2.03
Female,9979,184,445.93,4.47
Female,49865,1147,216.93,0.44
Female,135664,93,14829.87,10.93
,20592,1260,160,0.78
Female,22692,360,256.2,1.13
Female,16333,1546,452.77,2.77
Female,74683,998,2295.6,3.07
,608078,2818,3361.5,0.55
Male,296375,70,55540.83,18.74
Female,72314,260,2536.5,3.51
Female,20966,3755,374.37,1.79
,32812,2032,72.73,0.22
Female,31843,924,444.03,1.39
Female,10734,3380,119.73,1.12
Female,43372,1043,478.83,1.1
,17290,6076,724.3,4.19
female,28056,443,968.77,3.45
female,8848,1167,41.53,0.47
,26440,2651,1722.7,6.52
Female,10574,97,2929.4,27.7
Male,15749,3160,58.7,0.37
,16958,2106,497.33,2.93
Female,24115,231,743.33,3.08
,76836,180,64.3,0.08
female,32047,3090,159.4,0.5
,12261,1606,29.17,0.24
,15774,813,334.03,2.12
Female,13344,6576,93.77,0.7
,25979,1,4,0.02
Male,16884,947,395.7,2.34
Male,69811,592,5459.13,7.82
,23092,338,185.63,0.8
Female,14517,51,55.6,0.38
Male,15043,2,548.5,3.65
Female,45544,430,587.47,1.29
female,8235,466,104.43,1.27
,11423,638,265,2.32
Female,31054,2467,1114.8,3.59
,17566,176,527.1,3
female,27465,1961,456.53,1.66
Male,95211,342,6746.3,7.09
Female,25803,3881,213.9,0.83
Female,58340,1777,335.67,0.58
,6223,834,152.9,2.46
male,6984,2471,110.3,1.58
Male,69141,2798,174.9,0.25
Female,23553,398,585.37,2.49
Female,50029,573,796.3,1.59
Female,95656,2344,1525.5,1.59
,60972,76,5181.17,8.5
Female,24274,190,848.87,3.5
,10742,1293,351.4,3.27
Female,27704,12,435.75,1.57
Male,24682,77,16.17,0.07
Male,18985,422,483.07,2.54
,66587,1088,4740.37,7.12
female,11240,2712,344.63,3.07
male,28917,345,2934.17,10.15
Female,33137,2787,205.33,0.62
